Gamma_target,Gamma_realised,attainable,Gamma,arm,c,n_seeds,adwin_impl,river_version,DetRate_CUSUM,ADD_CUSUM,SEM_CUSUM,n_preonset_leak_CUSUM,arm_CUSUM,DetRate_PHT,ADD_PHT,SEM_PHT,n_preonset_leak_PHT,arm_PHT,DetRate_ADWIN,ADD_ADWIN,SEM_ADWIN,n_preonset_leak_ADWIN,arm_ADWIN,DetRate_DDM,ADD_DDM,SEM_DDM,n_preonset_leak_DDM,arm_DDM,DetRate_EDDM,ADD_EDDM,SEM_EDDM,n_preonset_leak_EDDM,arm_EDDM
137.77777777777777,137.77777777777555,True,137.77777777777555,reset,1.5,5000,river,0.23.0,1,28.301400000000001,0.18608200237529687,0,reset,0.0292,NaN,NaN,0,reset,0.93540000000000001,1861.3425272610648,16.79103814888326,0,reset,0.62039999999999995,1898.0664087685363,23.350596266405603,0,reset,0.82479999999999998,444.01236663433559,11.844283384318418,0,reset
153.33333333333331,153.3333333333353,True,153.3333333333353,reset,1.5,5000,river,0.23.0,1,28.2544,0.18994635065723162,0,reset,0.031,NaN,NaN,0,reset,0.93500000000000005,1854.575614973262,16.65426400640785,0,reset,0.62339999999999995,1926.2370869425729,23.504208095018598,0,reset,0.81699999999999995,461.52264381884947,12.189015231488481,0,reset
168.88888888888889,168.88888888888508,True,168.88888888888508,reset,1.5,5000,river,0.23.0,1,28.208600000000001,0.19376495350810991,0,reset,0.032599999999999997,NaN,NaN,0,reset,0.93820000000000003,1866.0918780643785,16.854671002531923,0,reset,0.62780000000000002,1928.9209939471168,23.299357608910288,0,reset,0.81159999999999999,479.79448003942827,12.576004646454104,0,reset
184.44444444444446,184.44444444444062,True,184.44444444444062,reset,1.5,5000,river,0.23.0,1,28.202000000000002,0.2073167605380713,0,reset,0.033799999999999997,NaN,NaN,0,reset,0.93700000000000006,1861.5912486659552,16.749150407341009,0,reset,0.62619999999999998,1934.2762695624401,23.352997096576217,0,reset,0.80379999999999996,501.98009455088328,13.129605927509267,0,reset
200,199.99999999999488,True,199.99999999999488,reset,1.5,5000,river,0.23.0,1,28.236799999999999,0.22873649720147415,0,reset,0.033599999999999998,NaN,NaN,0,reset,0.93640000000000001,1856.264416915848,16.690859808763904,0,reset,0.62839999999999996,1929.2208784213876,23.294685329559165,0,reset,0.79700000000000004,518.5907151819323,13.475769967374417,0,reset
1,1.1739130434782608,False,1.1739130434782608,warmstart,1.5,5000,river,0.23.0,1,25.415400000000002,0.073656015151513585,159,warmstart,1,27.018000000000001,0.077808066419877059,120,warmstart,0.99980000000000002,66.517503500700144,0.22094599710906199,2,warmstart,0.99939999999999996,255.21232739643787,3.4321936326204447,489,warmstart,0.999,134.83923923923925,1.6681229216979396,4578,warmstart
6.4444444444444446,6.4444444444444402,True,6.4444444444444402,warmstart,1.5,5000,river,0.23.0,1,25.492799999999999,0.09050916877311381,159,warmstart,1,27.096599999999999,0.09555612846908354,120,warmstart,0.99980000000000002,64.136227245449092,0.23809385203158182,2,warmstart,0.99939999999999996,253.77146287772663,3.4115300754203188,489,warmstart,0.99939999999999996,133.42165299179507,1.4195970712167858,4578,warmstart
11.888888888888889,11.888888888888962,True,11.888888888888962,warmstart,1.5,5000,river,0.23.0,1,25.519200000000001,0.099865140424474447,159,warmstart,1,27.1234,0.10530353502138472,120,warmstart,0.99980000000000002,63.25285057011402,0.24836949967946373,2,warmstart,0.99960000000000004,253.74369747899161,3.4955241643300488,489,warmstart,0.99960000000000004,134.21608643457384,1.6818044908930054,4578,warmstart
17.333333333333336,17.333333333333339,True,17.333333333333339,warmstart,1.5,5000,river,0.23.0,1,25.4938,0.10623479802776489,159,warmstart,1,27.095800000000001,0.11185868080752606,120,warmstart,0.99980000000000002,62.798359671934385,0.2620268122459698,2,warmstart,0.99960000000000004,252.83873549419769,3.4673210768000069,489,warmstart,0.99960000000000004,133.93857543017208,1.6244109308331778,4578,warmstart
22.777777777777779,22.777777777777651,True,22.777777777777651,warmstart,1.5,5000,river,0.23.0,1,25.481999999999999,0.11099051851397038,159,warmstart,1,27.074999999999999,0.11709737400983848,120,warmstart,0.99980000000000002,62.395079015803162,0.27218342955096964,2,warmstart,0.99980000000000002,252.60952190438087,3.4846978453482711,489,warmstart,0.99960000000000004,133.70348139255702,1.5773128151650651,4578,warmstart
