experiment,pipeline,detector,Gamma,ADD_reset,ADD_warmstart,delta_ADD,se_delta_paired,n_paired,censor_horizon,alarm_time_censored_reset,alarm_time_censored_warmstart,delta_censored,se_delta_censored,n_censored,DetRate_reset,DetRate_warmstart,n_preonset_leak_reset,n_preonset_leak_warmstart
expB_H1,Concept,ADWIN,75.555555555555557,1938.1666666666667,60.641128225645126,-1877.2719774256566,17.290229223712032,4607,5000,2178.2143999999998,61.628999999999998,-2116.5853999999999,19.769115785212897,5000,0.92159999999999997,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,91.111111111111114,1902.6622145626884,60.263452690538109,-1842.1167851756088,17.147161034530175,4641,5000,2124.4315999999999,61.251399999999997,-2063.1801999999998,19.555298976216189,5000,0.9284,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,106.66666666666666,1880.2223175965664,60.401600000000002,-1819.5021459227469,16.977819248926949,4660,5000,2092.3672000000001,60.401600000000002,-2031.9656,19.342706453387446,5000,0.93200000000000005,1,0,2
expB_H1,Concept,ADWIN,122.22222222222223,1868.36406316688,59.86017203440688,-1808.2868729989327,16.862938084993448,4685,5000,2065.0308,60.848199999999999,-2004.1826000000001,19.145356959588664,5000,0.93720000000000003,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,137.77777777777777,1861.3425272610648,59.495299059811963,-1801.6150556030796,16.869945396064097,4676,5000,2064.0998,60.483400000000003,-2003.6164000000001,19.22036812655762,5000,0.93540000000000001,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,153.33333333333331,1854.575614973262,59.226445289057814,-1795.0877192982457,16.737699519389011,4674,5000,2059.0282000000002,60.214599999999997,-1998.8136,19.145762636583459,5000,0.93500000000000005,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,168.88888888888889,1866.0918780643785,58.919183836767353,-1806.9083155650319,16.938700059591337,4690,5000,2059.7674000000002,59.907400000000003,-1999.8599999999999,19.178408564607601,5000,0.93820000000000003,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,184.44444444444446,1861.5912486659552,58.68233646729346,-1802.6370623398805,16.835141758040727,4684,5000,2059.3110000000001,59.6706,-1999.6404,19.144209089066518,5000,0.93700000000000006,0.99980000000000002,0,2
expB_H1,Concept,ADWIN,200,1856.264416915848,58.464692938587717,-1797.4860072634053,16.777305675126993,4681,5000,2056.2060000000001,59.453000000000003,-1996.7529999999999,19.129992831241331,5000,0.93640000000000001,0.99980000000000002,0,2
expB_H1,Concept,DDM,1,NaN,255.21232739643787,-2482.3023255813955,223.44958264779726,43,5000,4980.3379999999997,258.05919999999998,-4722.2788,5.1665597375832597,5000,0.0086,0.99939999999999996,0,489
expB_H1,Concept,DDM,6.4444444444444446,NaN,253.77146287772663,-1686.5567010309278,49.276177394745574,776,5000,4526.1934000000001,256.61919999999998,-4269.5742,17.809423492406999,5000,0.15540000000000001,0.99939999999999996,0,489
expB_H1,Concept,DDM,11.888888888888889,NaN,253.74369747899161,-1615.0650929899857,36.236769525871694,1398,5000,4127.0164000000004,255.6422,-3871.3742000000002,22.561018459849304,5000,0.27979999999999999,0.99960000000000004,0,489
expB_H1,Concept,DDM,17.333333333333336,NaN,252.83873549419769,-1559.8929359823398,31.185431760940926,1812,5000,3847.4502000000002,254.73759999999999,-3592.7125999999998,24.649299189842253,5000,0.36259999999999998,0.99960000000000004,0,489
expB_H1,Concept,DDM,22.777777777777779,NaN,252.60952190438087,-1570.9327290076335,29.235523364148673,2096,5000,3673.4191999999998,253.559,-3419.8602000000001,25.510712761197183,5000,0.41920000000000002,0.99980000000000002,0,489
expB_H1,Concept,DDM,28.222222222222221,NaN,252.02220444088817,-1558.5120034919248,27.523579794493731,2291,5000,3544.0426000000002,252.9718,-3291.0708,25.949767037862514,5000,0.4582,0.99980000000000002,0,489
expB_H1,Concept,DDM,33.666666666666671,NaN,251.50590118023604,-1534.6108821104699,26.619839962565976,2426,5000,3446.3496,252.4556,-3193.8939999999998,26.307216129360693,5000,0.48520000000000002,0.99980000000000002,0,489
expB_H1,Concept,DDM,39.111111111111114,1800.5445622300747,251.00720144028807,-1537.9344326658813,26.034755020482248,2547,5000,3370.1974,251.95699999999999,-3118.2404000000001,26.465497948799367,5000,0.50939999999999996,0.99980000000000002,0,489
expB_H1,Concept,DDM,44.555555555555557,1807.3223981900453,250.59791958391679,-1545.5874811463048,25.412569620039754,2652,5000,3306.6037999999999,251.5478,-3055.056,26.495359672773606,5000,0.53039999999999998,0.99980000000000002,0,489
expB_H1,Concept,DDM,50,1821.1422779211205,250.20684136827364,-1560.0210099520825,25.385542926122184,2713,5000,3275.1518000000001,251.1568,-3023.9949999999999,26.527570690818095,5000,0.54259999999999997,0.99980000000000002,0,489
expB_H1,Concept,DDM,60,1840.2427664079041,249.44408881776354,-1581.3288637967537,25.047277114084999,2834,5000,3209.0495999999998,250.39420000000001,-2958.6554000000001,26.518904597859656,5000,0.56679999999999997,0.99980000000000002,0,489
expB_H1,Concept,DDM,75.555555555555557,1851.7865437158471,248.50250050010001,-1596.8814890710382,24.776132849786016,2928,5000,3156.4061999999999,249.4528,-2906.9533999999999,26.469360381646752,5000,0.58560000000000001,0.99980000000000002,0,489
expB_H1,Concept,DDM,91.111111111111114,1858.3621657312644,247.72794558911784,-1604.5988775173325,24.234851786980858,3029,5000,3096.7957999999999,248.67840000000001,-2848.1174000000001,26.375645386935339,5000,0.60580000000000001,0.99980000000000002,0,489
expB_H1,Concept,DDM,106.66666666666666,1877.2475312705728,247.06241248249651,-1623.909150757077,24.545469333848825,3038,5000,3102.6156000000001,248.01300000000001,-2854.6026000000002,26.387420863180434,5000,0.60760000000000003,0.99980000000000002,0,489
expB_H1,Concept,DDM,122.22222222222223,1883.5234527687296,247.37639999999999,-1627.755700325733,24.288121567643163,3070,5000,3086.4834000000001,247.37639999999999,-2839.107,26.32438182001319,5000,0.61399999999999999,1,0,489
expB_H1,Concept,DDM,137.77777777777777,1898.0664087685363,246.7542,-1643.6547388781432,24.215042086068095,3102,5000,3075.5603999999998,246.7542,-2828.8062,26.23959072380098,5000,0.62039999999999995,1,0,489
expB_H1,Concept,DDM,153.33333333333331,1926.2370869425729,246.17959999999999,-1673.1177414180302,24.328264347927245,3117,5000,3083.8162000000002,246.17959999999999,-2837.6365999999998,26.127518747008164,5000,0.62339999999999995,1,0,489
expB_H1,Concept,DDM,168.88888888888889,1928.9209939471168,245.649,-1675.1226505256452,24.094758585696134,3139,5000,3071.9766,245.649,-2826.3276000000001,26.065247503162677,5000,0.62780000000000002,1,0,489
expB_H1,Concept,DDM,184.44444444444446,1934.2762695624401,245.13220000000001,-1680.8214627914404,24.152242392351699,3131,5000,3080.2438000000002,245.13220000000001,-2835.1116000000002,26.050046140647698,5000,0.62619999999999998,1,0,489
expB_H1,Concept,DDM,200,1929.2208784213876,244.6754,-1675.9583068109484,24.104295114758163,3142,5000,3070.3224,244.6754,-2825.6469999999999,26.074407941659992,5000,0.62839999999999996,1,0,489
expB_H1,Concept,EDDM,1,158.72575163398693,134.83923923923925,-23.25281045751634,5.6466943918956538,3825,5000,1296.4251999999999,139.70439999999999,-1156.7208000000001,29.346042169390977,5000,0.76500000000000001,0.999,0,4578
