Gamma_target,Gamma_realised,attainable,Gamma,arm,c,n_seeds,adwin_impl,river_version,FPR_CUSUM,DetRate_CUSUM,ADD_CUSUM,SEM_CUSUM,n_preonset_leak_CUSUM,arm_CUSUM,FPR_PHT,DetRate_PHT,ADD_PHT,SEM_PHT,n_preonset_leak_PHT,arm_PHT,FPR_ADWIN,DetRate_ADWIN,ADD_ADWIN,SEM_ADWIN,n_preonset_leak_ADWIN,arm_ADWIN
17.333333333333336,17.333333333333339,True,17.333333333333339,warmstart,2,1000,local,0.23.0,0.034000000000000002,0.96899999999999997,1053.5273477812177,28.130550387115175,0,warmstart,0.072999999999999995,0.85199999999999998,691.92605633802816,17.140105110764868,0,warmstart,0.070000000000000007,0.97799999999999998,504.75051124744374,8.6635943624559246,0,warmstart
22.777777777777779,22.777777777777651,True,22.777777777777651,warmstart,2,1000,local,0.23.0,0.034000000000000002,0.96099999999999997,1436.6888657648283,42.208924873060056,0,warmstart,0.074999999999999997,0.80100000000000005,985.24843945068665,33.891608500405169,0,warmstart,0.076999999999999999,0.96199999999999997,584.35550935550941,10.104505687853473,0,warmstart
28.222222222222221,28.222222222222214,True,28.222222222222214,warmstart,2,1000,local,0.23.0,0.036999999999999998,0.94899999999999995,1761.2507903055848,49.135791756303767,0,warmstart,0.073999999999999996,0.746,1203.5335120643431,42.620571351644628,0,warmstart,0.086999999999999994,0.94899999999999995,664.35511064278182,13.979436370704832,0,warmstart
33.666666666666671,33.666666666666899,True,33.666666666666899,warmstart,2,1000,local,0.23.0,0.036999999999999998,0.94199999999999995,2111.8959660297241,59.477400552466172,0,warmstart,0.070999999999999994,0.70199999999999996,1457.8504273504273,52.181525994650443,0,warmstart,0.088999999999999996,0.93200000000000005,722.62553648068672,15.164980308624044,0,warmstart
39.111111111111114,39.111111111111377,True,39.111111111111377,warmstart,2,1000,local,0.23.0,0.035999999999999997,0.92500000000000004,2351.2681081081082,64.313290150663533,0,warmstart,0.069000000000000006,0.65900000000000003,1589.4552352048559,52.788299515851463,0,warmstart,0.095000000000000001,0.90900000000000003,756.85478547854791,15.228709152902407,0,warmstart
44.555555555555557,44.555555555555131,True,44.555555555555131,warmstart,2,1000,local,0.23.0,0.035999999999999997,0.91000000000000003,2562.343956043956,67.03582401893803,0,warmstart,0.065000000000000002,0.628,1759.7038216560509,56.316660252845551,0,warmstart,0.094,0.88500000000000001,790.50960451977403,16.469964369946187,0,warmstart
50,49.999999999999396,True,49.999999999999396,warmstart,2,1000,local,0.23.0,0.036999999999999998,0.89500000000000002,2733.6201117318437,67.337429146424924,0,warmstart,0.058999999999999997,0.60899999999999999,2001.8440065681446,64.739368520051798,0,warmstart,0.095000000000000001,0.86599999999999999,818.75866050808315,16.612598737555224,0,warmstart
60,59.999999999999659,True,59.999999999999659,warmstart,2,1000,local,0.23.0,0.034000000000000002,0.875,3091.254857142857,73.506792535039679,0,warmstart,0.058000000000000003,0.55000000000000004,2255.0163636363636,72.910356843526273,0,warmstart,0.099000000000000005,0.84199999999999997,908.85154394299286,27.029059714735457,0,warmstart
75.555555555555557,75.555555555556765,True,75.555555555556765,warmstart,2,1000,local,0.23.0,0.029999999999999999,0.84899999999999998,3558.1236749116606,79.633642204303541,0,warmstart,0.052999999999999999,0.501,2753.2614770459081,88.432097941059922,0,warmstart,0.104,0.79500000000000004,978.42389937106918,33.575207752204207,0,warmstart
91.111111111111114,91.111111111108841,True,91.111111111108841,warmstart,2,1000,local,0.23.0,0.029999999999999999,0.82499999999999996,3980.1793939393938,87.21160562906708,0,warmstart,0.048000000000000001,0.46700000000000003,NaN,NaN,0,warmstart,0.105,0.76400000000000001,1034.1007853403141,36.879689837416727,0,warmstart
