source,ticker,c,arm,n_onsets,lambda_star,FPR_achieved,DetRate,CI_low,CI_high,ADD,SEM,add_reliable
Real_ETH,ETH,0.20000000000000001,Concept,72,7.8000050944658499,0.041666666666666664,0.875,0.77918946275839163,0.93282215779426492,162.4126984126984,17.016252585801965,False
Real_ETH,ETH,0.20000000000000001,Eco,72,39.816970213501662,0.041666666666666664,0.72222222222222221,0.6095356707476457,0.81239714143170627,213.48076923076923,9.4080921036117076,False
Real_ETH,ETH,0.25,Concept,72,7.8000050944658499,0.041666666666666664,0.97222222222222221,0.9042582477856177,0.99234897809550537,148.98571428571429,15.924624659750569,True
Real_ETH,ETH,0.25,Eco,72,39.816970213501662,0.041666666666666664,0.88888888888888884,0.79577061766335955,0.94261180365050656,208.734375,12.632640830379261,False
Real_ETH,ETH,0.34999999999999998,Concept,72,7.8000050944658499,0.041666666666666664,1,0.94934882740354221,1,89.416666666666671,9.2709295667081957,True
Real_ETH,ETH,0.34999999999999998,Eco,72,39.816970213501662,0.041666666666666664,1,0.94934882740354221,1,155.77777777777777,8.5917843649260774,True
Real_ETH,ETH,0.5,Concept,72,7.8000050944658499,0.041666666666666664,1,0.94934882740354221,1,49.916666666666664,3.3386387177492449,True
Real_ETH,ETH,0.5,Eco,72,39.816970213501662,0.041666666666666664,1,0.94934882740354221,1,97.111111111111114,3.5940062606194423,True
Real_ETH,ETH,0.59999999999999998,Concept,72,7.8000050944658499,0.041666666666666664,1,0.94934882740354221,1,42.208333333333336,2.7660821490416576,True
Real_ETH,ETH,0.59999999999999998,Eco,72,39.816970213501662,0.041666666666666664,1,0.94934882740354221,1,80.305555555555557,2.7349221111480748,True
Real_ETH,ETH,0.75,Concept,72,7.8000050944658499,0.041666666666666664,1,0.94934882740354221,1,34.708333333333336,1.9933761356577633,True
Real_ETH,ETH,0.75,Eco,72,39.816970213501662,0.041666666666666664,1,0.94934882740354221,1,65.444444444444443,1.7701538880504071,True
Real_ETH,ETH,1,Concept,72,7.8000050944658499,0.041666666666666664,1,0.94934882740354221,1,27.625,1.1399787299022863,True
Real_ETH,ETH,1,Eco,72,39.816970213501662,0.041666666666666664,1,0.94934882740354221,1,51.125,1.0999329209345248,True
Real_ETH,ETH,1.25,Concept,72,7.8000050944658499,0.041666666666666664,1,0.94934882740354221,1,24.069444444444443,0.61058259623446287,True
Real_ETH,ETH,1.25,Eco,72,39.816970213501662,0.041666666666666664,1,0.94934882740354221,1,42.916666666666664,0.7293319918397847,True
