regime,etf,seed,alpha,beta,gamma_penalty,p_data,p_concept,error_rate,classifier_version
Cal. A,SPY,10,0.080000000000000002,0.88,8.320754716981126,2.7167125002726503e-208,0.48179994557451367,0.49775000000000003,0.23.0
Cal. A,SPY,11,0.080000000000000002,0.88,8.320754716981126,8.8198786231135073e-243,0.35092263317662969,0.489375,0.23.0
Cal. A,SPY,12,0.080000000000000002,0.88,8.320754716981126,0,0.83191360734315611,0.49725000000000003,0.23.0
Cal. A,SPY,13,0.080000000000000002,0.88,8.320754716981126,0,0.21447666868120643,0.49862499999999998,0.23.0
Cal. A,SPY,14,0.080000000000000002,0.88,8.320754716981126,9.6302885795624489e-145,0.42405538115683766,0.50687499999999996,0.23.0
Cal. A,SPY,15,0.080000000000000002,0.88,8.320754716981126,5.5446786511111229e-138,0.85779320679990056,0.50887499999999997,0.23.0
Cal. A,SPY,16,0.080000000000000002,0.88,8.320754716981126,2.9884404677759928e-142,0.3266236642871933,0.4945,0.23.0
Cal. A,SPY,17,0.080000000000000002,0.88,8.320754716981126,0,0.60786635705019498,0.5,0.23.0
Cal. A,SPY,18,0.080000000000000002,0.88,8.320754716981126,1.2220987143101421e-235,0.039622020670647955,0.50175000000000003,0.23.0
Cal. A,SPY,19,0.080000000000000002,0.88,8.320754716981126,0,0.47035469107290651,0.49975000000000003,0.23.0
Cal. A,SPY,20,0.080000000000000002,0.88,8.320754716981126,1.2122968215516744e-260,0.55316299203480856,0.497,0.23.0
Cal. A,SPY,21,0.080000000000000002,0.88,8.320754716981126,0,0.95006518137127127,0.50312500000000004,0.23.0
Cal. A,SPY,22,0.080000000000000002,0.88,8.320754716981126,0,0.87210876396585923,0.501,0.23.0
Cal. A,SPY,23,0.080000000000000002,0.88,8.320754716981126,0,0.7646842752568288,0.50337500000000002,0.23.0
Cal. A,SPY,24,0.080000000000000002,0.88,8.320754716981126,3.9249166221626764e-156,0.052402504619731276,0.50049999999999994,0.23.0
Cal. A,SPY,25,0.080000000000000002,0.88,8.320754716981126,9.6104617468314409e-244,0.59139547585340291,0.50412500000000005,0.23.0
Cal. A,SPY,26,0.080000000000000002,0.88,8.320754716981126,8.9118446352627668e-178,0.25578559468115442,0.50687499999999996,0.23.0
Cal. A,SPY,27,0.080000000000000002,0.88,8.320754716981126,4.8488505753965796e-241,0.783026473148279,0.50462499999999999,0.23.0
Cal. A,SPY,28,0.080000000000000002,0.88,8.320754716981126,2.6576640771053861e-238,0.9602932749464127,0.50075000000000003,0.23.0
Cal. A,SPY,29,0.080000000000000002,0.88,8.320754716981126,0,0.90865989595049712,0.49937500000000001,0.23.0
Cal. A,SPY,30,0.080000000000000002,0.88,8.320754716981126,0,0.38378369299282616,0.50637500000000002,0.23.0
Cal. A,VNQ,1,0.12,0.81999999999999995,8.0091743119265928,0,0.65809991936559653,0.49887500000000001,0.23.0
Cal. A,VNQ,2,0.12,0.81999999999999995,8.0091743119265928,0,0.76433662536394675,0.502,0.23.0
Cal. A,VNQ,3,0.12,0.81999999999999995,8.0091743119265928,0,0.10405732122066078,0.49187500000000001,0.23.0
Cal. A,VNQ,4,0.12,0.81999999999999995,8.0091743119265928,4.1431902924911845e-240,0.83763037534169227,0.49175000000000002,0.23.0
Cal. A,VNQ,5,0.12,0.81999999999999995,8.0091743119265928,1.3619220868322508e-236,0.087462731755981141,0.4965,0.23.0
Cal. A,VNQ,6,0.12,0.81999999999999995,8.0091743119265928,0,0.18523287538666836,0.49675000000000002,0.23.0
Cal. A,VNQ,7,0.12,0.81999999999999995,8.0091743119265928,0,0.79166631958954958,0.50962499999999999,0.23.0
Cal. A,VNQ,8,0.12,0.81999999999999995,8.0091743119265928,0,0.77710931507287495,0.49962499999999999,0.23.0
Cal. A,VNQ,9,0.12,0.81999999999999995,8.0091743119265928,0,0.58148433769704988,0.49637500000000001,0.23.0
Cal. A,VNQ,10,0.12,0.81999999999999995,8.0091743119265928,0,0.11932053600354309,0.50224999999999997,0.23.0
Cal. A,VNQ,11,0.12,0.81999999999999995,8.0091743119265928,9.363021192074597e-312,0.84953500280577832,0.49287500000000001,0.23.0
Cal. A,VNQ,12,0.12,0.81999999999999995,8.0091743119265928,0,0.72814940561588759,0.50137500000000002,0.23.0
Cal. A,VNQ,13,0.12,0.81999999999999995,8.0091743119265928,0,0.47795703344262064,0.49612499999999998,0.23.0
Cal. A,VNQ,14,0.12,0.81999999999999995,8.0091743119265928,1.9134360386142362e-270,0.31575001957294174,0.49562499999999998,0.23.0
