cell_index,replicate_index,alpha_target,beta_target,sigma_target,omega_target,n_obs,nu,alpha_hat,beta_hat,omega_hat,converged,alpha_margin,beta_margin,alpha_within_tol,beta_within_tol,cell_pass
43,10,0.080000000000000002,0.90000000000000002,0.0092999999999999992,1.7298000000000012e-06,5000,7,0.079741999999999993,0.89190199999999997,2.1013289610158912e-06,True,-0.00025800000000000822,-0.0080980000000000496,True,True,True
44,0,0.10000000000000001,0.84999999999999998,0.10000000000000001,0.00050000000000000055,5000,7,0.076283000000000004,0.87171799999999999,0.0004891079941939287,True,-0.023717000000000002,0.021718000000000015,True,True,True
45,1,0.10000000000000001,0.84999999999999998,0.10000000000000001,0.00050000000000000055,5000,7,0.13386799999999999,0.82663600000000004,0.00052059270674698185,True,0.033867999999999981,-0.02336399999999994,False,True,False
46,2,0.10000000000000001,0.84999999999999998,0.10000000000000001,0.00050000000000000055,5000,7,0.11197799999999999,0.82427399999999995,0.00059409609936930772,True,0.011977999999999989,-0.025726000000000027,True,True,True
47,3,0.10000000000000001,0.84999999999999998,0.10000000000000001,0.00050000000000000055,5000,7,0.099209000000000006,0.84856799999999999,0.0005407486710944404,True,-0.00079100000000000004,-0.0014319999999999888,True,True,True
48,4,0.10000000000000001,0.84999999999999998,0.10000000000000001,0.00050000000000000055,5000,7,0.097459000000000004,0.84365599999999996,0.00053716062504319164,True,-0.0025410000000000016,-0.0063440000000000163,True,True,True
49,5,0.10000000000000001,0.84999999999999998,0.10000000000000001,0.00050000000000000055,5000,7,0.083320000000000005,0.86863400000000002,0.00045402001883115562,True,-0.01668,0.018634000000000039,True,True,True
50,6,0.10000000000000001,0.84999999999999998,0.10000000000000001,0.00050000000000000055,5000,7,0.102177,0.83735199999999999,0.00050474183021124877,True,0.0021769999999999984,-0.012647999999999993,True,True,True
51,7,0.10000000000000001,0.84999999999999998,0.10000000000000001,0.00050000000000000055,5000,7,0.10440099999999999,0.84777899999999995,0.00043482284206327579,True,0.0044009999999999883,-0.0022210000000000285,True,True,True
52,8,0.10000000000000001,0.84999999999999998,0.10000000000000001,0.00050000000000000055,5000,7,0.109351,0.83220499999999997,0.00053978618982793711,True,0.0093509999999999982,-0.017795000000000005,True,True,True
53,9,0.10000000000000001,0.84999999999999998,0.10000000000000001,0.00050000000000000055,5000,7,0.10334,0.85137700000000005,0.00049939938718605013,True,0.0033399999999999958,0.0013770000000000726,True,True,True
54,10,0.10000000000000001,0.84999999999999998,0.10000000000000001,0.00050000000000000055,5000,7,0.10297099999999999,0.83402600000000005,0.00058596974937641778,True,0.0029709999999999875,-0.015973999999999933,True,True,True
55,0,0.10000000000000001,0.84999999999999998,0.0092999999999999992,4.3245000000000032e-06,5000,7,0.076283000000000004,0.87171799999999999,4.2302950417832879e-06,True,-0.023717000000000002,0.021718000000000015,True,True,True
56,1,0.10000000000000001,0.84999999999999998,0.0092999999999999992,4.3245000000000032e-06,5000,7,0.13386799999999999,0.82663600000000004,4.5026063206546446e-06,True,0.033867999999999981,-0.02336399999999994,False,True,False
57,2,0.10000000000000001,0.84999999999999998,0.0092999999999999992,4.3245000000000032e-06,5000,7,0.11197799999999999,0.82427399999999995,5.1383371634451402e-06,True,0.011977999999999989,-0.025726000000000027,True,True,True
58,3,0.10000000000000001,0.84999999999999998,0.0092999999999999992,4.3245000000000032e-06,5000,7,0.099209000000000006,0.84856799999999999,4.6769352562958136e-06,True,-0.00079100000000000004,-0.0014319999999999888,True,True,True
59,4,0.10000000000000001,0.84999999999999998,0.0092999999999999992,4.3245000000000032e-06,5000,7,0.097459000000000004,0.84365599999999996,4.6459022459985615e-06,True,-0.0025410000000000016,-0.0063440000000000163,True,True,True
60,5,0.10000000000000001,0.84999999999999998,0.0092999999999999992,4.3245000000000032e-06,5000,7,0.083320000000000005,0.86863400000000002,3.9268191428706648e-06,True,-0.01668,0.018634000000000039,True,True,True
61,6,0.10000000000000001,0.84999999999999998,0.0092999999999999992,4.3245000000000032e-06,5000,7,0.102177,0.83735199999999999,4.365512089497089e-06,True,0.0021769999999999984,-0.012647999999999993,True,True,True
62,7,0.10000000000000001,0.84999999999999998,0.0092999999999999992,4.3245000000000032e-06,5000,7,0.10440099999999999,0.84777899999999995,3.7607827610052708e-06,True,0.0044009999999999883,-0.0022210000000000285,True,True,True
63,8,0.10000000000000001,0.84999999999999998,0.0092999999999999992,4.3245000000000032e-06,5000,7,0.109351,0.83220499999999997,4.6686107558218251e-06,True,0.0093509999999999982,-0.017795000000000005,True,True,True
64,9,0.10000000000000001,0.84999999999999998,0.0092999999999999992,4.3245000000000032e-06,5000,7,0.10334,0.85137700000000005,4.3193052997721452e-06,True,0.0033399999999999958,0.0013770000000000726,True,True,True
65,10,0.10000000000000001,0.84999999999999998,0.0092999999999999992,4.3245000000000032e-06,5000,7,0.10297099999999999,0.83402600000000005,5.0680523623566343e-06,True,0.0029709999999999875,-0.015973999999999933,True,True,True
66,0,0.050000000000000003,0.93999999999999995,0.10000000000000001,0.00010000000000000011,5000,7,0.040828999999999997,0.94621900000000003,0.00011798009110967696,True,-0.0091710000000000055,0.0062190000000000856,True,True,True
67,1,0.050000000000000003,0.93999999999999995,0.10000000000000001,0.00010000000000000011,5000,7,0.061622000000000003,0.93376400000000004,8.3190822114038041e-05,True,0.011622,-0.0062359999999999083,True,True,True
68,2,0.050000000000000003,0.93999999999999995,0.10000000000000001,0.00010000000000000011,5000,7,0.055834000000000002,0.92422899999999997,0.00016377262290978817,True,0.0058339999999999989,-0.015770999999999979,True,True,True
69,3,0.050000000000000003,0.93999999999999995,0.10000000000000001,0.00010000000000000011,5000,7,0.048785000000000002,0.93859400000000004,0.00012846634295377639,True,-0.0012150000000000008,-0.0014059999999999073,True,True,True
70,4,0.050000000000000003,0.93999999999999995,0.10000000000000001,0.00010000000000000011,5000,7,0.044835,0.94487299999999996,8.3618824427716468e-05,True,-0.0051650000000000029,0.0048730000000000162,True,True,True
71,5,0.050000000000000003,0.93999999999999995,0.10000000000000001,0.00010000000000000011,5000,7,0.040850999999999998,0.95114200000000004,7.2559264378618669e-05,True,-0.0091490000000000044,0.011142000000000096,True,True,True
72,6,0.050000000000000003,0.93999999999999995,0.10000000000000001,0.00010000000000000011,5000,7,0.053386999999999997,0.92628200000000005,0.0001451990314636666,True,0.0033869999999999942,-0.013717999999999897,True,True,True
73,7,0.050000000000000003,0.93999999999999995,0.10000000000000001,0.00010000000000000011,5000,7,0.056853000000000001,0.930585,0.00010403644335160236,True,0.006852999999999998,-0.0094149999999999512,True,True,True
74,8,0.050000000000000003,0.93999999999999995,0.10000000000000001,0.00010000000000000011,5000,7,0.054438,0.92719399999999996,0.0001468811763726084,True,0.0044379999999999975,-0.012805999999999984,True,True,True
75,9,0.050000000000000003,0.93999999999999995,0.10000000000000001,0.00010000000000000011,5000,7,0.051756999999999997,0.93749000000000005,0.00011657511129498737,True,0.0017569999999999947,-0.0025099999999999012,True,True,True
76,10,0.050000000000000003,0.93999999999999995,0.10000000000000001,0.00010000000000000011,5000,7,0.049931000000000003,0.933473,0.00013703350050452959,True,-6.8999999999999617e-05,-0.0065269999999999495,True,True,True
77,0,0.050000000000000003,0.93999999999999995,0.0092999999999999992,8.649000000000006e-07,5000,7,0.040828999999999997,0.94621900000000003,1.0204098080075958e-06,True,-0.0091710000000000055,0.0062190000000000856,True,True,True
78,1,0.050000000000000003,0.93999999999999995,0.0092999999999999992,8.649000000000006e-07,5000,7,0.061623999999999998,0.93376199999999998,7.1951742046431459e-07,True,0.011623999999999995,-0.0062379999999999658,True,True,True
79,2,0.050000000000000003,0.93999999999999995,0.0092999999999999992,8.649000000000006e-07,5000,7,0.055834000000000002,0.92422899999999997,1.4164694155467575e-06,True,0.0058339999999999989,-0.015770999999999979,True,True,True
80,3,0.050000000000000003,0.93999999999999995,0.0092999999999999992,8.649000000000006e-07,5000,7,0.048785000000000002,0.93859400000000004,1.1111054002072117e-06,True,-0.0012150000000000008,-0.0014059999999999073,True,True,True
81,4,0.050000000000000003,0.93999999999999995,0.0092999999999999992,8.649000000000006e-07,5000,7,0.044835,0.94487299999999996,7.2321921247531904e-07,True,-0.0051650000000000029,0.0048730000000000162,True,True,True
82,5,0.050000000000000003,0.93999999999999995,0.0092999999999999992,8.649000000000006e-07,5000,7,0.040850999999999998,0.95114200000000004,6.2756507761067241e-07,True,-0.0091490000000000044,0.011142000000000096,True,True,True
83,6,0.050000000000000003,0.93999999999999995,0.0092999999999999992,8.649000000000006e-07,5000,7,0.053386999999999997,0.92628200000000005,1.2558264231292519e-06,True,0.0033869999999999942,-0.013717999999999897,True,True,True
84,7,0.050000000000000003,0.93999999999999995,0.0092999999999999992,8.649000000000006e-07,5000,7,0.056853000000000001,0.930585,8.9981119854800862e-07,True,0.006852999999999998,-0.0094149999999999512,True,True,True
85,8,0.050000000000000003,0.93999999999999995,0.0092999999999999992,8.649000000000006e-07,5000,7,0.054438,0.92719399999999996,1.2703752944466897e-06,True,0.0044379999999999975,-0.012805999999999984,True,True,True
86,9,0.050000000000000003,0.93999999999999995,0.0092999999999999992,8.649000000000006e-07,5000,7,0.051756999999999997,0.93749000000000005,1.0082581375903456e-06,True,0.0017569999999999947,-0.0025099999999999012,True,True,True
87,10,0.050000000000000003,0.93999999999999995,0.0092999999999999992,8.649000000000006e-07,5000,7,0.049931000000000003,0.933473,1.1852027458636752e-06,True,-6.8999999999999617e-05,-0.0065269999999999495,True,True,True
