w,Gamma,s_max,v_max,dmu_std_target,delta_P,lambda_star_Data,lambda_star_Concept,lambda_iid_H,w_star,w_over_wstar,mon_len,regime,FPR_Data_val,FPR_Concept_val,censored_Data,DetRate_Data,ADD_Data,MED_Data,SEM_Data,DetRate_Concept,ADD_Concept,MED_Concept,SEM_Concept
1715,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,0.6433805741452926,200000,saturated,0.0525,0.0525,0.0075,0.9925,2358.3778337531485,2126.0,75.80132534381873,0.0525,90735.47619047618,81599.0,12792.794581627182
2849,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,1.0687995660291187,200000,ramp,0.0525,0.0525,0.0075,0.9925,3014.332493702771,2727.0,77.61586887178929,0.0525,90735.47619047618,81599.0,12792.794581627182
4734,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,1.7759554740547028,200000,ramp,0.0525,0.0525,0.0075,0.9925,3988.544080604534,3811.0,79.7875576142085,0.0525,90735.47619047618,81599.0,12792.794581627182
7867,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,2.9512973625661907,200000,ramp,0.0525,0.0525,0.0075,0.9925,5507.617128463476,5224.0,95.7507714702835,0.0525,90735.47619047618,81599.0,12792.794581627182
13072,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,4.903948026371583,200000,ramp,0.0525,0.0525,0.0075,0.9925,7700.392947103274,7291.0,116.65358330851528,0.0525,90735.47619047618,81599.0,12792.794581627182
21722,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,8.14898707380994,200000,ramp,0.0525,0.0525,0.0075,0.9925,10953.55919395466,10416.0,158.3357508454585,0.0525,90735.47619047618,81599.0,12792.794581627182
36094,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,13.54062882985434,200000,ramp,0.0525,0.0525,0.0075,0.9925,15902.166246851386,15163.0,255.0057062439066,0.0525,90735.47619047618,81599.0,12792.794581627182
59976,11.579999998279618,2.436528846008845,5.936672817433192,2.0,0.5,1771.4235068620317,15.810000000000036,129.48222329109777,2665.607369756717,22.499937792966804,200000,ramp,0.0525,0.0525,0.0075,0.9925,23284.35516372796,21808.0,396.67736670401854,0.0525,90735.47619047618,81599.0,12792.794581627182
388,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,0.08427797826672663,200000,saturated,0.055,0.0525,0.0125,0.9875,3135.1620253164556,2146.0,504.9878877662907,0.0525,90735.47619047618,81599.0,12792.794581627182
645,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,0.1401012783042234,200000,saturated,0.055,0.0525,0.0125,0.9875,3296.7518987341773,2318.0,504.65019415914173,0.0525,90735.47619047618,81599.0,12792.794581627182
1073,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,0.2330677079386538,200000,saturated,0.055,0.0525,0.0125,0.9875,3545.2227848101265,2556.0,503.92174940926446,0.0525,90735.47619047618,81599.0,12792.794581627182
1782,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,0.3870705084312032,200000,saturated,0.055,0.0525,0.0125,0.9875,3953.5721518987343,2880.0,502.84398910624805,0.0525,90735.47619047618,81599.0,12792.794581627182
2961,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,0.6431626124942721,200000,saturated,0.055,0.0525,0.0125,0.9875,4659.151898734177,3578.0,502.0675975513601,0.0525,90735.47619047618,81599.0,12792.794581627182
4921,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,1.068896729511757,200000,ramp,0.055,0.0525,0.0125,0.9875,5808.265822784811,4738.0,501.6131643081794,0.0525,90735.47619047618,81599.0,12792.794581627182
8177,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,1.7761366708428445,200000,ramp,0.055,0.0525,0.0125,0.9875,7540.329113924051,6593.0,504.39059398953486,0.0525,90735.47619047618,81599.0,12792.794581627182
13587,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,2.9512497183247803,200000,ramp,0.055,0.0525,0.0125,0.9875,10061.648101265822,9012.0,510.93218608077854,0.0525,90735.47619047618,81599.0,12792.794581627182
22577,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,4.903979163216204,200000,ramp,0.055,0.0525,0.0125,0.9875,13895.303797468354,12686.0,529.1529623432796,0.0525,90735.47619047618,81599.0,12792.794581627182
37516,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,8.148898537769371,200000,ramp,0.055,0.0525,0.0125,0.9875,19353.759493670885,17704.0,564.8291472183995,0.0525,90735.47619047618,81599.0,12792.794581627182
62339,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,13.540734245282144,200000,ramp,0.055,0.0525,0.0125,0.9875,27352.944303797467,25132.0,654.326657862654,0.0525,90735.47619047618,81599.0,12792.794581627182
103586,19.999999999166857,2.514475953485813,6.322589320658389,2.0,0.5,3332.1901105130446,15.810000000000036,129.48222329109777,4603.812383491695,22.500048084374082,200000,ramp,0.055,0.0525,0.0125,0.9875,39523.33164556962,36395.0,872.5917261539328,0.0525,90735.47619047618,81599.0,12792.794581627182
