ticker,phase_id,phase_type,start_date,end_date,T_days,ann_return,ann_vol,vol_pct,sharpe,q_ref,q_phase,delta_q,alpha,ADD_min_days,detectable_flag,pathology_class,episode_label,source_scale,dating_algorithm
SPY,23,bull,2020-03-23,2022-01-03,450,0.44127205161663569,0.19154806224144025,0.26666666666666666,2.3037145166231245,0.54115996258185217,0.59111111111111114,0.049951148529258971,0.050000000000000003,284.49603409432746,True,location,,MACRO,lunde_timmermann
SPY,24,bear,2022-01-03,2022-06-16,114,-0.57526227685040121,0.24923840091101726,0.56666666666666665,-2.308080435228681,0.54115996258185217,0.43859649122807015,-0.10256347135378202,0.050000000000000003,283.42075807140299,False,location,,MACRO,lunde_timmermann
SPY,25,bull,2022-06-16,2022-08-16,41,0.99058269422367617,0.18604686853112468,0.20000000000000001,5.3243717674181488,0.54115996258185217,0.58536585365853655,0.044205891076684378,0.050000000000000003,53.25946392368715,False,location,,MACRO,lunde_timmermann
SPY,26,bear,2022-08-16,2022-10-12,40,-1.1417168421234722,0.24108694334424322,0.53333333333333333,-4.7357058258158657,0.54115996258185217,0.32500000000000001,-0.21615996258185216,0.050000000000000003,67.323099266801407,False,location,,MACRO,lunde_timmermann
SPY,27,bull,2022-10-12,2025-02-19,589,0.24501318403083053,0.13987691111891634,0.13333333333333333,1.7516342194783856,0.54115996258185217,0.57045840407470294,0.029298441492850769,0.050000000000000003,492.09243982919065,True,neither,,MACRO,lunde_timmermann
SPY,28,bear,2025-02-19,2025-04-08,34,-1.5322419481825462,0.26725828552677122,0.6333333333333333,-5.7331878230172277,0.54115996258185217,0.41176470588235292,-0.12939525669949925,0.050000000000000003,45.934732864269684,False,location,,MACRO,lunde_timmermann
SPY,29,bull,2025-04-08,2025-07-03,59,0.99632997875292284,0.25668843815232761,0.59999999999999998,3.8814758698312186,0.54115996258185217,0.69491525423728817,0.153755291655436,0.050000000000000003,100.2166205023604,False,location,,MACRO,lunde_timmermann
PFF,0,bear,2008-05-16,2008-07-15,40,-2.1767914135541764,0.25866935529772839,0.40000000000000002,-8.4153432518076592,0.55870997047467641,0.22500000000000001,-0.33370997047467643,0.050000000000000003,21.320130789568566,True,location,GFC_2008,MACRO,lunde_timmermann
PFF,1,bull,2008-07-15,2008-07-23,6,7.7231209556634246,0.466272967189031,0.59999999999999998,16.563518580592312,0.55870997047467641,1,0.44129002952532359,0.050000000000000003,5.5033652365262791,True,location,,MACRO,lunde_timmermann
PFF,2,bear,2008-07-23,2008-09-17,39,-2.3463529394194276,0.39412041619229121,0.5,-5.9533910018877148,0.55870997047467641,0.41025641025641024,-0.14845356021826617,0.050000000000000003,42.599521526295931,False,location,GFC_2008,MACRO,lunde_timmermann
PFF,3,bull,2008-09-17,2008-09-19,2,24.531261704234367,0.033174691746384218,0.050000000000000003,739.45711061228121,0.55870997047467641,1,0.44129002952532359,0.050000000000000003,0.0027612616148579845,True,location,,MACRO,lunde_timmermann
PFF,4,bear,2008-09-19,2008-10-10,15,-6.4055425574395519,0.80967195857944141,0.94999999999999996,-7.9112812165040154,0.55870997047467641,0.33333333333333331,-0.22537663714134309,0.050000000000000003,24.123476200650451,False,both,GFC_2008,MACRO,lunde_timmermann
PFF,5,bull,2008-10-10,2008-11-04,17,4.9253412302970681,0.7690120650994432,0.84999999999999998,6.4047645723999889,0.55870997047467641,0.76470588235294112,0.20599591187826471,0.050000000000000003,36.806726462629484,False,both,,MACRO,lunde_timmermann
PFF,6,bear,2008-11-04,2008-11-20,12,-7.5402622304377882,0.70667783718324007,0.80000000000000004,-10.670013737083726,0.55870997047467641,0.33333333333333331,-0.22537663714134309,0.050000000000000003,13.261833695104297,False,both,GFC_2008,MACRO,lunde_timmermann
PFF,7,bull,2008-11-20,2009-01-06,30,3.790720651738031,0.43578436794688108,0.55000000000000004,8.6986154863638703,0.55870997047467641,0.73333333333333328,0.17462336285865687,0.050000000000000003,19.954151590092252,True,location,,MACRO,lunde_timmermann
PFF,8,bear,2009-01-06,2009-02-23,32,-4.7217404078658838,0.69878676003055151,0.75,-6.7570547668353731,0.55870997047467641,0.3125,-0.24620997047467641,0.050000000000000003,33.068816841665239,False,both,,MACRO,lunde_timmermann
PFF,9,bull,2009-02-23,2009-02-26,3,12.7306684683165,0.53633092119195958,0.65000000000000002,23.736592400869675,0.55870997047467641,1,0.44129002952532359,0.050000000000000003,2.6797654908208979,True,location,,MACRO,lunde_timmermann
PFF,10,bear,2009-02-26,2009-03-06,6,-12.45818877478168,1.0333440755010153,1,-12.05618638568315,0.55870997047467641,0.16666666666666666,-0.39204330380800978,0.050000000000000003,10.387561970536074,False,both,,MACRO,lunde_timmermann
PFF,11,bull,2009-03-06,2010-05-03,291,0.97298676913017768,0.27959969805306012,0.45000000000000001,3.4799278250491255,0.55870997047467641,0.66323024054982815,0.10452027007515174,0.050000000000000003,124.67892853602727,True,location,,MACRO,lunde_timmermann
PFF,12,bear,2010-05-03,2010-05-20,13,-3.4814523878166321,0.53951112564462722,0.69999999999999996,-6.4529760784022168,0.55870997047467641,0.38461538461538464,-0.17409458585929177,0.050000000000000003,36.258799789106774,False,location,,MACRO,lunde_timmermann
PFF,13,bull,2010-05-20,2011-05-19,252,0.21139634819699624,0.055114905794721732,0.10000000000000001,3.8355567363999983,0.55870997047467641,0.62301587301587302,0.064305902541196613,0.050000000000000003,102.63056316160149,True,location,,MACRO,lunde_timmermann
PFF,14,bear,2011-05-19,2011-08-08,55,-0.75732488943617093,0.22684541390464708,0.34999999999999998,-3.3385065027345333,0.55870997047467641,0.43636363636363634,-0.12234633411104007,0.050000000000000003,135.46561769947425,False,location,,MACRO,lunde_timmermann
PFF,15,bull,2011-08-08,2020-02-11,2141,0.07412720787579026,0.061394783271079237,0.14999999999999999,1.2073860990516565,0.55870997047467641,0.57496496964035493,0.016254999165678519,0.050000000000000003,1035.7172077450512,True,neither,,MACRO,lunde_timmermann
PFF,16,bear,2020-02-11,2020-03-18,25,-4.2043638702838981,0.77467903356254086,0.90000000000000002,-5.4272333290719867,0.55870997047467641,0.28000000000000003,-0.27870997047467638,0.050000000000000003,51.259757589606345,False,both,COVID_2020,MACRO,lunde_timmermann
PFF,17,bull,2020-03-18,2021-12-31,452,0.29382071368614415,0.15426889668231791,0.29999999999999999,1.9046011218398859,0.55870997047467641,0.55752212389380529,-0.0011878465808711214,0.050000000000000003,416.22241334369374,True,neither,,MACRO,lunde_timmermann
PFF,18,bear,2021-12-31,2022-10-21,203,-0.29346972064197591,0.13407848870336592,0.25,-2.1887904874229731,0.55870997047467641,0.43349753694581283,-0.12521243352886358,0.050000000000000003,315.15568776873323,False,location,,MACRO,lunde_timmermann
PFF,19,bull,2022-10-21,2024-10-16,498,0.11461457293812906,0.1122363333361048,0.20000000000000001,1.0211895696458859,0.55870997047467641,0.54618473895582331,-0.012525231518853097,0.050000000000000003,1447.8407439143502,False,neither,,MACRO,lunde_timmermann
VNQ,0,bull,2005-01-31,2007-02-07,378,0.42543730179031125,0.17941430935331082,0.19565217391304349,2.3712562466381697,0.52772237734343841,0.56878306878306883,0.041060691439630426,0.050000000000000003,268.51995064407862,True,location,,MACRO,lunde_timmermann
VNQ,1,bear,2007-02-07,2007-08-15,131,-0.54706086436037149,0.22693657356222133,0.30434782608695654,-2.4106333138513643,0.52772237734343841,0.41221374045801529,-0.11550863688542312,0.050000000000000003,259.81919124577871,False,location,,MACRO,lunde_timmermann
VNQ,2,bull,2007-08-15,2007-10-05,36,1.3714071588420054,0.24135637284082945,0.32608695652173914,5.6820838940367482,0.52772237734343841,0.63888888888888884,0.11116651154545043,0.050000000000000003,46.764710625988428,False,location,,MACRO,lunde_timmermann
VNQ,3,bear,2007-10-05,2008-01-18,72,-1.0729143220425523,0.31666999052248185,0.47826086956521741,-3.388114927695939,0.52772237734343841,0.40277777777777779,-0.12494459956566062,0.050000000000000003,131.52771265404502,False,location,GFC_2008,MACRO,lunde_timmermann
VNQ,4,bull,2008-01-18,2008-05-15,81,0.70659431162747133,0.33705065659129807,0.52173913043478259,2.09640390193417,0.52772237734343841,0.4567901234567901,-0.070932253886648311,0.050000000000000003,343.54498714795238,False,location,,MACRO,lunde_timmermann
VNQ,5,bear,2008-05-15,2008-07-15,41,-1.3325010206817625,0.36534407666556079,0.54347826086956519,-3.647249554018487,0.52772237734343841,0.41463414634146339,-0.11308823100197501,0.050000000000000003,113.50175451163655,False,location,GFC_2008,MACRO,lunde_timmermann
VNQ,6,bull,2008-07-15,2008-09-19,47,0.98167341351536963,0.491122743939924,0.65217391304347827,1.9988351702878,0.52772237734343841,0.57446808510638303,0.046745707762944622,0.050000000000000003,377.90233014312304,False,neither,,MACRO,lunde_timmermann
VNQ,7,bear,2008-09-19,2008-10-09,14,-7.1245754973316178,0.78016254083875181,0.73913043478260865,-9.1321681372602121,0.52772237734343841,0.35714285714285715,-0.17057952020058126,0.050000000000000003,18.104466715460457,False,location,GFC_2008,MACRO,lunde_timmermann
VNQ,8,bull,2008-10-09,2008-10-13,2,19.279711224153889,0.31880363842444592,0.5,60.475191937695016,0.52772237734343841,1,0.47227762265656159,0.050000000000000003,0.41283739006177683,True,location,,MACRO,lunde_timmermann
VNQ,9,bear,2008-10-13,2008-10-27,10,-10.255672030504336,0.73875869837138919,0.71739130434782605,-13.88230291313416,0.52772237734343841,0.20000000000000001,-0.3277223773434384,0.050000000000000003,7.8344858695362971,True,location,GFC_2008,MACRO,lunde_timmermann
VNQ,10,bull,2008-10-27,2008-11-04,6,10.311054597710875,1.0819947205027303,0.91304347826086951,9.5296718203209174,0.52772237734343841,0.66666666666666663,0.13894428932322822,0.050000000000000003,16.625612155627824,False,both,,MACRO,lunde_timmermann
VNQ,11,bear,2008-11-04,2008-11-20,12,-11.750712205571578,1.1700942945256658,0.95652173913043481,-10.042534401327968,0.52772237734343841,0.16666666666666666,-0.36105571067677178,0.050000000000000003,14.970864458113093,False,both,GFC_2008,MACRO,lunde_timmermann
VNQ,12,bull,2008-11-20,2008-11-26,4,18.364096609972254,0.96155650022661443,0.84782608695652173,19.098302185721071,0.52772237734343841,1,0.47227762265656159,0.050000000000000003,4.139463076803068,False,both,,MACRO,lunde_timmermann
