episode_id,ticker,phase_id,role,sigma_oracle,oracle_contaminated,oracle_certified,detector,delta,operating_point,lambda_star,FPR_H,ARL0,tau_realized_days,alarm_date,T_days_phase,alarm_within_T,ADD_min_census,detectable_flag_census,op_attainable,breakeven_exists
E1,SPY,22,TARGET,V2,False,True,D1,0.5,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.5,OP3_breakeven,1.6720118231307692,0.54715,,16.0,2020-03-12,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.22009856618884607,OP1_isoFPR5_H,6.85363864776697,0.04985,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.22009856618884607,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.22009856618884607,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.22009856618884607,OP3_breakeven,4.743415329409657,0.1701,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D2,,OP1_isoFPR5_H,3.282926069440412,0.0401,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D2,,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D2,,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D2,,OP3_breakeven,2.27211889091584,0.13555,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.0,OP1_isoFPR5_H,9.902645973868596,0.04805,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.0,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.0,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.0,OP3_breakeven,9.313499837545299,0.06415,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.05,OP1_isoFPR5_H,9.313499837545299,0.0417,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.05,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.05,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.05,OP3_breakeven,8.238273918829101,0.0723,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.1,OP1_isoFPR5_H,8.238273918829101,0.0493,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.1,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.1,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V3,True,False,D1,0.1,OP3_breakeven,7.287180796209435,0.08225,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V3,True,False,D1,0.15,OP1_isoFPR5_H,7.748147617024632,0.043,,,,23,False,42.07506613243134,False,True,True
