xi,stream_index,skewness,q,q_hat_warmup,lb_sign_p,lb_ebin_p,fpr_half,fpr_oracle,fpr_qhat,m_units_half,sign_identity,min_h,degenerate_sign,degenerate_ebin,fs_m,fs_s,fs_q_oracle
0.84999999999999998,5,-0.47344857332200485,0.53200000000000003,0.53000000000000003,0.31150718853089499,0.3513883185736501,0,0,0,43,True,0.008846418799997216,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,5,-1.0062291923271869,0.55637499999999995,0.54100000000000004,0.65207363447273903,0.43745802848352061,1,0,0,75,True,0.008394796061676273,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,5,-1.375306478592027,0.57987500000000003,0.56399999999999995,0.12294345332935147,0.35934084268348349,1,0,0,99,True,0.0087555800627644714,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,6,0.044890939899952,0.489875,0.48099999999999998,0.28667371961902621,0.95807643909609064,0,0,0,40,True,0.008584553647667215,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,6,-0.46384470098602126,0.51687499999999997,0.498,0.16966069353372559,0.89604642034219839,0,0,0,46,True,0.0088527413733943544,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,6,-1.0785229411330142,0.55837499999999995,0.53100000000000003,0.94260658467690828,0.82678845821875901,1,0,0,91,True,0.0088784683003292515,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,6,-1.4282494248156612,0.58187500000000003,0.57199999999999995,0.78245629730835864,0.80092687537318041,1,0,0,119,True,0.0084239399582264739,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,7,-0.0042424650258371509,0.4995,0.48099999999999998,0.28465174266730608,0.46507391091982253,0,0,0,34,True,0.0083563003197878617,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,7,-0.42821135906839841,0.52775000000000005,0.499,0.43333794503182649,0.019722279778892824,0,0,0,45,True,0.0082810122500836005,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,7,-0.9352494548056266,0.55649999999999999,0.52900000000000003,0.40803257692913036,0.24817696677871637,0,0,0,63,True,0.0085866795045527189,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,7,-1.1956319221149758,0.57274999999999998,0.55200000000000005,0.25794165254079021,0.43272660738636309,1,0,0,115,True,0.0085422184576108388,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,8,0.032838125815667134,0.50687499999999996,0.50600000000000001,0.51447469178638927,0.5732499801763955,0,0,0,39,True,0.0079290032305145194,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,8,-0.40136156067364953,0.52925,0.53100000000000003,0.64470211454789106,0.16828298359298557,0,0,0,63,True,0.0080826949485641661,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,8,-0.96551861317233689,0.56799999999999995,0.58199999999999996,0.059343141129766068,0.042749214943799005,1,0,0,106,True,0.0084058465215508648,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,8,-1.2782668961376475,0.58687500000000004,0.60199999999999998,0.82725140622810067,0.79480015560877026,1,0,0,119,True,0.0080754648632203833,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,9,-0.017835242505704122,0.50562499999999999,0.499,0.89288645088457785,0.90127406859966763,0,0,0,42,True,0.0084892618723355351,False,False,0.00084786314457791824,1.1837821058171558,0.499774
