K,c,k_index,c_index,DetRate,CI_low,CI_high,ADD,SEM,ADD_single,budget_reduction,add_reliable,n_detected,deff,deff_clamped,deff_lags,n_eff,SEM_design,distinct_starts,ADD_single_DetRate,ADD_single_reliable,ADD_single_SEM,ADD_single_SEM_design,ADD_single_n_detected
20,0.75,3,3,1,0.99808295271874692,0.99999999999999978,64.999499999999998,0.4707297984476585,132.328,2.0358310448541914,1,2000,17.844525761769404,False,1280,112.07919037472288,1.9884935950715186,1579,1,1,1.021555429601289,1.021555429601289,2000
30,0.75,4,3,1,0.99808295271874692,0.99999999999999978,71.606499999999997,0.54102234839767283,132.328,1.8479886602473241,1,2000,19.606653042906167,False,1280,102.00619124657867,2.3956145217583553,1552,1,1,1.021555429601289,1.021555429601289,2000
40,0.75,5,3,1,0.99808295271874692,0.99999999999999978,76.776499999999999,0.5152955837617107,132.328,1.7235482211353734,1,2000,25.407939774808671,False,1280,78.715551820653687,2.597413814991302,1564,1,1,1.021555429601289,1.021555429601289,2000
50,0.75,6,3,1,0.99808295271874692,0.99999999999999978,60.076999999999998,0.44204098861735541,132.328,2.2026399454033991,1,2000,19.596690726440176,False,1280,102.05804785710922,1.956833663159887,1557,1,1,1.021555429601289,1.021555429601289,2000
60,0.75,7,3,1,0.99808295271874692,0.99999999999999978,63.725499999999997,0.44565051000030481,132.328,2.0765313728413273,1,2000,12.148900421664772,False,1280,164.62395201078937,1.5533270100824264,1558,1,1,1.021555429601289,1.021555429601289,2000
75,0.75,8,3,1,0.99808295271874692,0.99999999999999978,62.329999999999998,0.46455834642013943,132.328,2.1230226215305632,1,2000,15.528113839869315,False,1280,128.79864358444399,1.830625974942869,1564,1,1,1.021555429601289,1.021555429601289,2000
97,0.75,9,3,1,0.99808295271874692,0.99999999999999978,63.750500000000002,0.46795257738615048,132.328,2.0757170531995826,1,2000,18.550010891294001,False,1280,107.81664828771889,2.015458815587357,1586,1,1,1.021555429601289,1.021555429601289,2000
1,1,0,4,1,0.99808295271874692,0.99999999999999978,111.51900000000001,0.72942809938751885,111.1285,0.99649835454048186,1,2000,1,True,1280,2000,0.72942809938751885,1566,1,1,0.73696441715395955,0.73696441715395955,2000
5,1,1,4,1,0.99808295271874692,0.99999999999999978,93.933499999999995,0.45518747422720968,111.1285,1.1830550336142058,1,2000,21.710961361602138,False,1280,92.119366189706682,2.1209470673597219,1556,1,1,0.73696441715395955,0.73696441715395955,2000
10,1,2,4,1,0.99808295271874692,0.99999999999999978,67.974999999999994,0.39878528351880738,111.1285,1.63484369253402,1,2000,15.210323190401882,False,1280,131.48964522082301,1.5552791291709649,1583,1,1,0.73696441715395955,0.73696441715395955,2000
20,1,3,4,1,0.99808295271874692,0.99999999999999978,55.372500000000002,0.35542936976767509,111.1285,2.006925820578807,1,2000,16.665762022754478,False,1280,120.00651378972736,1.4509949452675486,1561,1,1,0.73696441715395955,0.73696441715395955,2000
30,1,4,4,1,0.99808295271874692,0.99999999999999978,60.451999999999998,0.38464701306825605,111.1285,1.8382931912922651,1,2000,15.435425482685124,False,1280,129.57206798371217,1.5111990331326086,1560,1,1,0.73696441715395955,0.73696441715395955,2000
40,1,5,4,1,0.99808295271874692,0.99999999999999978,65.030000000000001,0.37966514563679093,111.1285,1.7088805166846071,1,2000,12.906927762854364,False,1280,154.95554300349633,1.3639930868440884,1549,1,1,0.73696441715395955,0.73696441715395955,2000
50,1,6,4,1,0.99808295271874692,0.99999999999999978,50.350999999999999,0.31767964945812927,111.1285,2.2070763242040874,1,2000,8.8524189264983537,False,1280,225.92694907527567,0.94519273277931848,1580,1,1,0.73696441715395955,0.73696441715395955,2000
60,1,7,4,1,0.99808295271874692,0.99999999999999978,54.792000000000002,0.33883221752929266,111.1285,2.0281884216673967,1,2000,11.522149763251056,False,1280,173.57871934444341,1.1501419815388616,1581,1,1,0.73696441715395955,0.73696441715395955,2000
75,1,8,4,1,0.99808295271874692,0.99999999999999978,53.180999999999997,0.33557998519463522,111.1285,2.0896278746168746,1,2000,19.518884161560152,False,1280,102.46487368057311,1.482598457308745,1575,1,1,0.73696441715395955,0.73696441715395955,2000
97,1,9,4,1,0.99808295271874692,0.99999999999999978,53.802,0.32908288587054546,111.1285,2.0655087171480613,1,2000,21.677898439412964,False,1280,92.259865760961645,1.5321944532941731,1576,1,1,0.73696441715395955,0.73696441715395955,2000
