gamma,seed,stream,p_data,p_concept
5,1815111221,14,0,0.99095720142357591
5,884846824,15,6.302717447660249e-95,0.45968210337312598
5,3909988984,16,3.1020948235951704e-105,0.80438001243050983
5,910371159,17,2.925014646822635e-104,0.16466360177147876
5,4084797565,18,1.0467076147149216e-159,0.288803231828898
5,161316774,19,4.6649226082571549e-210,0.03682516207196463
5,3442636724,20,0,0.92757963078773886
5,2949426830,21,6.1413703463184883e-145,0.96698358682309371
5,584362927,22,2.3692734629279997e-249,0.37565719472745379
5,1103605980,23,6.3070218031848995e-118,0.73516073103683033
5,507893930,24,3.4073391219748671e-75,0.43968008886182658
5,3731682914,25,0,0.74251682687195775
5,65025587,26,0,0.87903948561403211
5,2472332458,27,8.076057640495432e-252,0.37505123619966962
5,2660366500,28,3.3397799399177277e-62,0.95666160897408581
5,1233888671,29,9.3031758391188623e-93,0.22169185467610977
5,4144109903,30,3.2125543064335874e-103,0.47793932191512245
5,2993826520,31,0,0.045094114796130583
5,2564630506,32,6.3418669524243348e-65,0.016051868118013134
5,2412087205,33,3.2833097038937763e-196,0.81388194826674221
5,66382400,34,7.7153419462732531e-248,0.41510011007680447
5,169016003,35,6.5354650199928567e-128,0.12358764996926634
5,2662410694,36,9.7572339032567443e-129,0.50407615236391567
5,1343352456,37,1.7478928209885293e-119,0.25766917870615091
5,3968929052,38,1.1467909968893755e-236,0.27203811879674611
5,2564421253,39,1.2198431680077919e-110,0.37372431414832191
5,3127021020,40,0,0.84566421646195977
5,3389817005,41,8.557144682151569e-295,0.049523371416797406
5,2574073460,42,8.3617773746274546e-243,0.36294144493424518
5,1831637475,43,5.4457749508919654e-61,0.8728579701483099
5,2144143293,44,5.6553475877985237e-95,0.93441467187838989
5,436867651,45,3.9292121565136418e-97,0.61955120641451322
5,3094882103,46,3.5645841630147125e-198,0.06981949238126342
5,4063818672,47,6.282501741005726e-154,0.59304724145139587
5,2627550184,48,2.4817791272443777e-70,0.2211312082892809
5,2892903581,49,3.2819989694465028e-173,0.68463341171609515
5,3760251399,50,4.0883610213177248e-230,0.030581669850026236
5,1018515060,51,9.2242488169098903e-107,0.010814551294596004
5,440052333,52,1.6961204567087652e-233,0.34988876779274414
5,2737510036,53,2.791442183035835e-294,0.1148882831466901
5,3452346036,54,0,0.52038470418425042
5,748426222,55,4.2097224122176257e-127,0.611668401718924
5,1179346733,56,1.917359117761146e-98,0.38584432259735668
5,2297081776,57,6.2119141379393086e-131,0.47711977128892447
5,1862224841,58,0,0.91789122335107731
5,1629495822,59,2.1923941676670331e-118,0.58842468090302824
5,1405277686,60,2.9105597648987447e-147,0.27239643230941685
5,2112114554,61,4.9394387693014267e-272,0.63517746021425703
5,294346529,62,2.3400191157853822e-119,0.37822063321118027
5,2489358475,63,3.276049204403294e-223,0.99996486934203421
5,3082269088,64,1.6169543910910138e-64,0.71581836005674859
5,530692143,65,1.4429511837231505e-180,0.23409441769093314
5,3680765678,66,3.3288287573504523e-244,0.49614381212208025
5,429497539,67,4.9977876965463993e-89,0.11925519438343346
5,1965560886,68,4.0786190593738856e-238,0.93151539495880953
5,2257803404,69,5.83399513359653e-81,0.51478398792599134
5,2996201306,70,0,0.050809497519674514
5,1947493996,71,2.3584537640758886e-105,0.10214570622812036
5,1223733736,72,6.0652723890130425e-249,0.010327426248963392
5,1248218640,73,1.6428487192402427e-117,0.78056793833294269
5,2972471103,74,3.0519029312903628e-160,0.25424207783622815
5,2663410171,75,1.3908882570441027e-255,0.29765314764297468
5,4040190257,76,2.0679466062747462e-135,0.47538861507084706
5,2114974222,77,3.7529531961711596e-216,0.058108931150041412
5,374670650,78,1.5014696741322407e-97,0.92486884579310857
5,1539043108,79,1.961540574579331e-138,0.39130003796252932
5,990265044,80,7.6956493193713972e-77,0.34955469110831033
5,1449267620,81,2.462378964678486e-162,0.00019141616918638647
