gamma,seed,p_data,p_concept
8.1600000000000001,63,3.332371861963239e-245,0.21535514042992074
8.1600000000000001,64,0,0.054968471047291613
8.1600000000000001,65,7.0764726904909492e-278,0.6263484254726156
8.1600000000000001,66,6.5301657312598247e-234,0.23682147673821777
8.1600000000000001,67,1.6401840966061641e-173,0.055370800675439341
8.1600000000000001,68,1.7455253674920152e-204,0.22415320012378923
8.1600000000000001,69,2.3297615280806715e-142,0.56304232999759951
8.1600000000000001,70,2.5073172569178477e-279,0.68482397153671548
8.1600000000000001,71,3.066746212771008e-123,0.27309797565480498
8.1600000000000001,72,3.17635992383645e-194,0.07838286978042705
8.1600000000000001,73,3.7666112913407717e-141,0.59534284166393991
8.1600000000000001,74,0,0.017634274828068307
8.1600000000000001,75,3.3332232215947263e-226,0.20640215373900689
8.1600000000000001,76,1.0177464617140872e-146,0.68821071678364809
8.1600000000000001,77,0,0.54360624570483451
8.1600000000000001,78,2.4684396389395317e-219,0.65992239213398995
8.1600000000000001,79,2.2706690227526753e-195,0.031380667099208517
8.1600000000000001,80,0,0.44659896838918667
8.1600000000000001,81,9.8949153292194199e-182,0.48183926422586598
8.1600000000000001,82,0,0.26779726993635072
8.1600000000000001,83,0,0.29470159206264401
8.1600000000000001,84,0,0.93570317723050322
8.1600000000000001,85,7.6394809369364729e-290,0.20317932418717657
8.1600000000000001,86,0,0.99519303375576662
8.1600000000000001,87,1.2209785207114381e-308,0.34970521780847741
8.1600000000000001,88,0,0.6117750335168074
8.1600000000000001,89,0,0.00052204763475832358
8.1600000000000001,90,2.4026520678900443e-255,0.51329662659544539
8.1600000000000001,91,0,0.5116100957416212
8.1600000000000001,92,2.8387650683416763e-151,0.62599387325167422
8.1600000000000001,93,3.5721255264913765e-257,0.81822017922386325
8.1600000000000001,94,0,0.97826857290471014
8.1600000000000001,95,1.8843299516581888e-186,0.40744104847032958
8.1600000000000001,96,0,0.95013568365485157
8.1600000000000001,97,1.3359447257160668e-165,0.97057799113467202
8.1600000000000001,98,0,0.55158720590619381
8.1600000000000001,99,1.5352527676458939e-145,0.6039906774696524
8.1600000000000001,100,1.4569426885980219e-84,0.22009506371778453
11.58,1,1.801501616406367e-182,0.6862743628354091
11.58,2,9.9042115796813356e-220,0.58061957033901201
11.58,3,0,0.086017696803823804
11.58,4,1.0891483545111077e-237,0.99180905751928217
11.58,5,6.2510035874701511e-236,0.031764258326403921
11.58,6,0,0.93107060621298743
11.58,7,1.0930889850046259e-272,0.37327746939793827
11.58,8,2.7984681072770722e-249,0.55904858945667535
11.58,9,3.1471467787211798e-127,0.61466054608423515
11.58,10,2.6868305979080485e-214,0.78396498856518759
11.58,11,1.902314661576128e-278,0.88175477565293081
11.58,12,4.3407931192788247e-298,0.72956832788812331
11.58,13,0,0.64517408775489293
11.58,14,0,0.41145121491960962
11.58,15,1.3529498959378723e-294,0.64543076644336295
11.58,16,0,0.70645017150306677
11.58,17,0,0.96921391892764641
11.58,18,0,0.43446453494533821
11.58,19,0,0.75579241479147075
11.58,20,0,0.0281985875164633
11.58,21,0,0.65658856551262545
11.58,22,0,0.83539421599329144
11.58,23,0,0.32436204166264154
11.58,24,0,0.32516667857253678
11.58,25,0,0.85225966738021286
11.58,26,0,0.5030661160454668
11.58,27,2.3981747072320181e-255,0.21251350866264648
11.58,28,0,0.19356876529376524
11.58,29,8.8692109800296367e-302,0.2960472263014991
11.58,30,3.2734882644101819e-304,0.47637012837186243
11.58,31,0,0.4546927798333304
11.58,32,0,0.48019052632156034
11.58,33,2.016353474438977e-162,0.67922423335100079
11.58,34,0,0.58304922018792127
11.58,35,0,0.93353282784014624
11.58,36,3.4732016327105135e-177,0.63748416062665758
11.58,37,0,0.012100664560351056
11.58,38,0,0.92163197780830897
11.58,39,0,0.25308270264276828
11.58,40,0,0.71839099369394621
11.58,41,0,0.41981594381814169
11.58,42,0,0.17371894548879835
11.58,43,1.6463391189035769e-274,0.98495693237064075
